Energy,Thickness,Angle,Count
9,0.0295,90,240
9,0.03,90,175
9,0.0305,90,296
9,0.031,90,156
9,0.0315,90,238
9,0.032,90,258
9,0.0325,90,267
9,0.033,90,209
9,0.034,90,262
9,0.0345,90,236
9,0.0335,90,268
9,0.035,90,233
9,0.0355,90,240
9,0.036,90,175
9,0.003,90,0
9,0.0005,90,0
9,0.002,90,0
9,0.004,90,0
9,0.0035,90,0
9,0.0015,90,0
9,0.0025,90,0
9,0.001,90,0
9,0.0045,90,0
9,0.005,90,0
9,0.0055,90,0
9,0.006,90,0
9,0.005,90,0
9,0.03,90,0
9,0.045,90,0
9,0.035,90,0
9,0.015,90,0
9,0.02,90,0
9,0.025,90,0
9,0.05,90,0
9,0.04,90,0
9,0.015,90,0
9,0.01,90,0
9,0.005,90,0
9,0.05,90,0
9,0.03,90,0
9,0.02,90,0
9,0.025,90,0
9,0.04,90,0
9,0.035,90,0
9,0.045,90,0
9,0.01,90,0
9,0.05,90,0
9,0.005,90,0
9,0.04,90,0
9,0.02,90,0
9,0.015,90,0
9,0.025,90,0
9,0.045,90,0
9,0.03,90,0
9,0.035,90,0
9,0.005,90,0
