Energy,Thickness,A,x0,Count
20.0,7.0,,4.900920574512682,630.0
20.0,7.5,,4.592289378946333,591.0
20.0,8.0,,4.414322144239242,531.0
20.0,8.5,,4.57898143535962,488.0
20.0,9.0,,4.588714324937415,468.0
20.0,9.5,,5.002976614994132,423.0
20.0,10.0,,4.60011740845065,403.0
5.0,0.5,,-60911526.24623981,132.0
5.0,1.0,,-97455827.32220311,105.0
5.0,1.5,,-80853675.39545873,99.0
5.0,2.0,,-166769787.84285522,78.0
5.0,2.5,,-29504529.19450056,88.0
5.0,3.0,,-127277299.9760713,73.0
5.0,3.5,,-53499949.51788703,67.0
5.0,4.0,,-99649066.70065404,78.0
5.0,4.5,,-58377928.12161867,55.0
5.0,5.0,,-88587850.40299836,49.0
5.0,5.5,,-99983863.63828412,63.0
5.0,6.0,,-64366320.70094628,53.0
10.0,0.5,,-116342916.05004044,668.0
5.0,6.5,,-161053983.1675791,35.0
5.0,7.0,,-57652785.51047652,43.0
5.0,7.5,,-53403505.22286136,37.0
10.0,1.0,,-145256393.48785833,1571.0
5.0,8.0,,-21177775.52778739,28.0
5.0,8.5,,-42712788.128160655,26.0
5.0,9.0,,-200419380.37050915,32.0
5.0,9.5,,-128818286.29490632,16.0
5.0,10.0,,-42593683.7426126,27.0
10.0,1.5,,2.793231381449969,1787.0
10.0,2.0,,-212695982.8964024,1693.0
10.0,2.5,,-184880374.19588897,1627.0
10.0,3.0,,-161572718.2026344,1478.0
10.0,3.5,,-188199807.6181202,1374.0
10.0,4.0,,-117364774.99682511,1305.0
10.0,4.5,,-107226113.9433616,1234.0
10.0,5.0,,-126587454.50750504,1146.0
10.0,5.5,,-119457181.70744008,1063.0
10.0,6.0,,-106292367.768464,1029.0
10.0,6.5,,-106111489.22815566,1035.0
10.0,7.0,,-99468761.00852457,953.0
10.0,7.5,,-117511686.7285777,915.0
10.0,8.0,,-123371403.35506593,839.0
10.0,8.5,,-181185236.8642093,850.0
10.0,9.0,,-222180281.6980511,828.0
10.0,9.5,,-154999215.92756125,745.0
10.0,10.0,,-109383946.19347355,717.0
