Energy,Thickness,A,x0,Count
70.0,8.0,,-741852205.857018,123721.0
100.0,4.0,,-578117861.5833613,194617.0
70.0,8.5,,-749621173.5734068,117974.0
100.0,4.5,,-560573556.3987544,210100.0
70.0,9.0,,-502911861.1385664,112325.0
70.0,9.5,,-732325211.9914129,106431.0
100.0,5.0,,-1182258587.5485191,221660.0
70.0,10.0,,-807935902.6473792,100976.0
100.0,5.5,,-950063566.9197176,228844.0
100.0,6.0,,-816213086.60924,232171.0
100.0,6.5,,-767631790.7414236,233020.0
100.0,7.0,,-770948001.8313293,230455.0
100.0,7.5,,-942358525.7847975,226374.0
100.0,8.0,,-790406572.8275967,219765.0
100.0,8.5,,-787590483.0350115,212934.0
100.0,9.0,,10.984878084275016,204100.0
100.0,9.5,,-1120587785.3074057,195875.0
100.0,10.0,,-589610407.155065,185985.0
